"","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant"
"KCNE3",118.99642146189,12.7729831230629,3.51284133149041,1.18774939050734e-20,6.2365923654468e-20,"Up"
"MIR3142HG",60.5661503267996,-2.38697399165765,0.260718201754589,1.20433731259546e-20,6.32154364522339e-20,"Down"
"PDGFB",153.925478490057,12.3646902824246,3.04552003147806,1.22601835549356e-20,6.43316184972564e-20,"Up"
"TTC3",627.723731480802,-1.25369822878828,0.135849847543934,1.24303158115339e-20,6.52021962782191e-20,"Down"
"KIF19",31.6128957622104,2.90795034646862,0.318139717757342,1.24772260598323e-20,6.54260516805527e-20,"Up"
"IL32",24497.6200526377,-0.593665225620854,0.0639082794094141,1.27517730252673e-20,6.68429947623661e-20,"Down"
"PAX8",64.6107328802497,1.84729002320362,0.201175910325093,1.28303096995885e-20,6.72318670016075e-20,"Up"
"RASSF1",1348.63246481662,-1.13042497072363,0.122418001444206,1.28495879949682e-20,6.73100621309301e-20,"Down"
"MRPL21",710.147666564106,0.712745327551139,0.0767828732873092,1.28713138872466e-20,6.74010211791332e-20,"Up"
"NOTUM",38.3106412040686,4.32475172786982,0.472383478793511,1.3046430013061e-20,6.82948790622737e-20,"Up"
"BRI3BP",956.731013810505,-0.774641793773744,0.0835205042751327,1.32471325648045e-20,6.93220248980438e-20,"Down"
"ESRP2",165.091469508484,9.42743952009106,0.981064259910964,1.34166356155324e-20,7.0185264105221e-20,"Up"
"SEMA6B",36.2689805778168,5.12705640219791,0.552718185470727,1.34891255249624e-20,7.05405944965295e-20,"Up"
"TP53I3",341.006760584876,-0.986968586786169,0.106771087565084,1.4019844034089e-20,7.32911535381521e-20,"Down"
"FA2H",128.341277359048,13.0155527912109,3.65507633638574,1.48303240210655e-20,7.75018590116759e-20,"Up"
"KCNMB4",27.4598889586029,3.78719983525996,0.411859395579372,1.66947979213388e-20,8.72159270718218e-20,"Up"
"ENTPD7",405.161273778097,-1.00320040893115,0.108710827921815,1.70753925207367e-20,8.91740590141751e-20,"Down"
"MICA",225.706918155477,1.1793636458497,0.128218033260431,1.73681336938011e-20,9.06722195845634e-20,"Up"
"LINC03062",66.1188955766788,-2.36988946994645,0.260012963339793,1.77265929302802e-20,9.25123406118272e-20,"Down"
"PPCS",1007.75707688441,0.622686875937386,0.067280686727711,1.78690668010048e-20,9.32244055624331e-20,"Up"
"RASA2",1384.87478659418,-1.3814756639838,0.150611701163305,1.796496929747e-20,9.36931051480947e-20,"Down"
