"","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant"
"EOMES",3000.99875454503,-0.314870218639625,0.0749096260054507,4.92797146883669e-06,0.000615218332846349,"Not Significant"
"MRGBP",1272.27804745657,0.45916817394255,0.11275917876129,5.03195769019449e-06,0.000621656439642777,"Not Significant"
"GZMH",1937.66717077493,-0.635951299185786,0.163804360577539,5.10952703221785e-06,0.000623242294433462,"Down"
"TMEM158",139.742413811814,1.31446184763865,0.341871767498521,5.14989416985491e-06,0.000623242294433462,"Up"
"TUBA1A",2408.38760807666,-0.561448048051404,0.140713371459303,5.26112862021028e-06,0.000625929659782926,"Down"
"GNA11",668.269415520507,0.762300918094537,0.195424306498247,5.30184657610442e-06,0.000625929659782926,"Up"
"MAOB",283.021683365689,0.696514092296504,0.17709344120122,5.33042964907888e-06,0.000625929659782926,"Up"
"HOPX",6556.71730576496,-0.734094572315972,0.187803968313406,5.63606635018837e-06,0.000652007883352404,"Down"
"PARD3",528.44542895054,0.568396588979916,0.14343990478064,5.66246306790031e-06,0.000652007883352404,"Up"
"CYRIA",1285.43489080769,-0.61707175642314,0.155299267162268,5.83194177083036e-06,0.000665065667327385,"Down"
"MTCO1P12",2945.88350494241,0.963583725539181,0.250672886906244,5.97920539316016e-06,0.000675365485360757,"Up"
"BATF2",2170.09578010854,0.632428624074686,0.16052395654112,6.08639924692196e-06,0.000680987689325419,"Up"
"VEGFA",931.090958514257,0.463558639030834,0.115153466066946,6.29980595690614e-06,0.000698277557466418,"Not Significant"
"PLIN2",1065.70004849725,-0.445960186274129,0.108616714750642,6.61675614019862e-06,0.000721061542433167,"Not Significant"
"TRNP1",1958.60283892782,0.713252033644773,0.183583716954963,6.62695684023737e-06,0.000721061542433167,"Up"
"FTH1P8",291.023342028379,0.786367197606402,0.206441767857044,7.25341767375454e-06,0.00078205030555208,"Up"
"PARVA",939.467200461421,0.412763342282101,0.103009452693892,7.46874437013531e-06,0.000798011785854097,"Not Significant"
"RHOB",2302.26291537804,0.578588452022425,0.15083759849622,8.13478406964256e-06,0.000855257755561528,"Up"
"ITGB5",1061.38899713549,0.630905787535366,0.165054104821494,8.14874590037543e-06,0.000855257755561528,"Up"
"ALDH1A3",707.418589531466,0.49702157303035,0.12592214357603,8.35187141821082e-06,0.000861973732796657,"Not Significant"
"CCL22",220.776405646632,1.01646568790705,0.270046944688296,8.46207991253354e-06,0.000861973732796657,"Up"
"YAP1",2411.18642892835,0.490224062158195,0.125259740952455,8.52954318175448e-06,0.000861973732796657,"Not Significant"
"LMO7",2661.86051720324,0.548566622635485,0.141543908332781,8.57481368049037e-06,0.000861973732796657,"Up"
"PXDC1",695.803679725354,0.567058026590702,0.146563811810506,8.57612988785882e-06,0.000861973732796657,"Up"
"IL22RA1",244.548378824752,0.870381051679889,0.233076654325696,9.7606920838486e-06,0.000964313945315743,"Up"
"ABCC3",1495.4601802259,0.672069200147385,0.177293588246825,9.92661345826376e-06,0.000964313945315743,"Up"
"PROSER2",351.915029196505,0.84254603684178,0.225662383089798,9.9579500721972e-06,0.000964313945315743,"Up"
"MARCKSL1",8300.69737990227,0.432835746715605,0.114394088386021,9.98548222707013e-06,0.000964313945315743,"Not Significant"
"WNT7B",333.060928868644,0.860434066513279,0.230100075766494,1.00008950483842e-05,0.000964313945315743,"Up"
"ITGA3",5036.85220642074,0.810826549426346,0.216924857174097,1.01150295896999e-05,0.000967453636563234,"Up"
"SOX9",1573.96791037189,0.716745984620891,0.193426449938104,1.05722749317007e-05,0.00100309744551976,"Up"
"GPR39",267.468272695332,0.705681413934199,0.188092092660553,1.07890255535637e-05,0.00101260694313162,"Up"
"TNFAIP2",2938.45075115686,0.728332586652833,0.194818424098484,1.08567663370636e-05,0.00101260694313162,"Up"
