"","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant"
"HAVCR2",7707.95320566272,1.3595929860076,0.0681192236000181,7.68627835002588e-90,3.82627895153546e-87,"Up"
"KRT20",5375.7384708726,-1.64133604802939,0.0822779514354752,1.2833703504597e-89,6.18905351509191e-87,"Down"
"FEZ1",662.162669874293,1.86685184766434,0.09421301433172,2.1897941780831e-88,1.02402738655086e-85,"Up"
"KLK6",4070.54687102995,-2.00492330450486,0.102437895830359,1.93719542172409e-86,8.79258816119004e-84,"Down"
"ENTPD1",3797.52231736485,1.54971060966843,0.0800677405605751,1.69642245845506e-84,7.47976896539387e-82,"Up"
"FADS1",374.835402437839,2.40625323921577,0.124480516850604,2.25038950645926e-84,9.64666968435537e-82,"Up"
"IL12RB2",1349.70685834969,1.85849739582872,0.0966245520670967,1.57039294220434e-83,6.54981186056686e-81,"Up"
"ZBTB32",348.641969307932,3.16671277918096,0.166780731500808,1.45094073960505e-81,5.89234670883818e-79,"Up"
"FFAR4",372.275890543646,-2.34527325641788,0.125974607546324,3.40233213563166e-78,1.34627665428379e-75,"Down"
"LRATD2",3654.70209068146,-1.08799316247185,0.0584638517338005,3.70404011770571e-78,1.42901867741086e-75,"Down"
"LCP1",36984.5109128336,1.12835104556625,0.0610222287617397,3.22028694359064e-77,1.21208458813392e-74,"Up"
"HDGFL3",1693.18506021616,1.48255216818988,0.0806012559833591,1.34526600600772e-76,4.94289166778838e-74,"Up"
"SLC1A4",2000.61659793114,1.35694576815681,0.0745732921396953,5.45023853517788e-75,1.95600188546198e-72,"Up"
"GPRC5A",3739.71419904401,-1.43364239037282,0.0788552148449414,7.14273370326569e-75,2.50515151156355e-72,"Down"
"ETS2",3072.91594287761,-0.998981482758998,0.0552051798343054,9.09473904690406e-74,3.11888917715163e-71,"Down"
"DPP4",3170.07975559173,1.77408281032075,0.0989018774856598,5.03548263777857e-73,1.68929495796084e-70,"Up"
"TPM4",9104.01530198054,1.17590801114685,0.0658361398755821,1.77325752677155e-71,5.82232130917843e-69,"Up"
"MAPKAPK3",3530.3560338857,1.45549943988041,0.0820440618767235,1.91738411964496e-71,6.16438994465855e-69,"Up"
"CD300C",336.985752659958,2.22657543706385,0.126855870542734,5.1481227423561e-70,1.62134347265386e-67,"Up"
"CSF2RB",964.332313441136,2.10084907260586,0.12138220369727,1.81160514420702e-68,5.59133811708054e-66,"Up"
"E2F2",532.190360540798,1.83207355520126,0.107278185765102,2.52280136268977e-66,7.63370012333893e-64,"Up"
"KLK10",6054.81924886533,-1.70288811040538,0.100170856622411,6.62333766561327e-66,1.96560282414892e-63,"Down"
"CA12",279.367347453621,-2.44727533086757,0.144648154244371,2.30466797897788e-65,6.71049740595976e-63,"Down"
"KRT8",90538.3865097405,-1.41566280175175,0.0836266601096857,2.64043306749694e-65,7.54577094400237e-63,"Down"
"RFLNB",418.165228921076,2.22826681224068,0.132468762525916,1.12506860420855e-64,3.15673794548115e-62,"Up"
"DPF3",211.364587801418,2.52574716589089,0.150447536222665,1.72556913959875e-64,4.75517552897998e-62,"Up"
"TMEM140",5245.69179492699,-0.99101321894424,0.0593113866131555,1.35214030725023e-63,3.66074196868168e-61,"Down"
"LTB",3994.91332720601,2.13487592765114,0.12810354941105,1.66981143876669e-63,4.4428500212151e-61,"Up"
"BMP4",2910.38930443554,-1.59899242961217,0.0963648410298385,3.80209583121128e-63,9.94473607919534e-61,"Down"
"P2RX5",245.122929658184,2.41925195322538,0.145559542214747,5.80143168634881e-63,1.49212822972891e-60,"Up"
"NTRK2",148.102634690081,3.49839516562691,0.210877020181022,1.34421029200662e-62,3.40063167643381e-60,"Up"
"PDLIM1",1798.52459424556,-1.13905838280754,0.0687610117666375,1.6864509898987e-62,4.19763091550269e-60,"Down"
"POGLUT2",427.469921893894,2.16171003385302,0.130836205289271,2.5384040942254e-62,6.21788126699782e-60,"Up"
"DUT",3182.38059429235,1.22997477237583,0.0747964957124018,1.04491672448664e-61,2.5195554519184e-59,"Up"
"AQP5",162.76565748189,-3.05218816775193,0.186117844327662,1.47799224816665e-61,3.50898098057042e-59,"Down"
"ABLIM1",1143.67104133251,-1.8663311977189,0.113915370805903,1.95421343675737e-61,4.56930632667269e-59,"Down"
"KRT13",300.324573528655,-2.68950624325777,0.165442522900735,1.10701171262252e-60,2.54976190286429e-58,"Down"
"MCM6",3507.44334013333,1.22116343093748,0.0751140519620183,3.81760891396256e-60,8.66372658239269e-58,"Up"
"TNF",413.873574408418,1.89063638828417,0.116796496325179,5.17849901500827e-60,1.15818256231315e-57,"Up"
"AP3M2",479.879890594783,1.58475438507481,0.0983519561462338,2.14496858028887e-59,4.72873644728827e-57,"Up"
"EGFL6",613.227526727819,1.31391263096704,0.0813424348685788,2.25549822844211e-59,4.90237305088995e-57,"Up"
"XBP1",7674.77121027198,0.916961487948613,0.0568638645979786,2.97965630180701e-59,6.3863966735397e-57,"Up"
"JAML",176.574617245521,-2.69777471425086,0.167434133548037,3.23494846162782e-59,6.83859241915624e-57,"Down"
"SLC39A8",1156.91787515928,1.76335815161959,0.10977946017028,8.43754667399826e-59,1.75957054423164e-56,"Up"
"GPR155",431.49782240761,-2.0914991709169,0.131907932182965,1.12299877559643e-57,2.31068228066721e-55,"Down"
"TCF19",1781.82469751801,1.28362826981742,0.0814811798837438,5.05453360719053e-57,1.02633635034427e-54,"Up"
"MANF",1488.51168292981,1.11432845438199,0.0705866449771221,7.11653452125736e-57,1.42626442509147e-54,"Up"
"SCML4",952.227473686691,-1.23930563932391,0.0791433368298972,4.19718156002576e-56,8.30396228645096e-54,"Down"
"DPYSL2",595.84619713442,1.77033320214933,0.114138381257148,3.42989178374851e-55,6.70001139326671e-53,"Up"
